(0.250000, 0.000000)
(0.246202, 0.043412)
(0.234923, 0.085505)
(0.216506, 0.125000)
(0.191511, 0.160697)
(0.160697, 0.191511)
(0.125000, 0.216506)
(0.085505, 0.234923)
(0.043412, 0.246202)
(0.000000, 0.250000)
(-0.020882, 0.246202)
(-0.041130, 0.234923)
(-0.060129, 0.216506)
(-0.077300, 0.191511)
(-0.092122, 0.160697)
(-0.104146, 0.125000)
(-0.113005, 0.085505)
(-0.118430, 0.043412)
(-0.120257, 0.000000)
(-0.118430, -0.013377)
(-0.113005, -0.026348)
(-0.104146, -0.038518)
(-0.092122, -0.049517)
(-0.077300, -0.059012)
(-0.060129, -0.066714)
(-0.041130, -0.072389)
(-0.020882, -0.075865)
(-0.000000, -0.077035)
(0.043412, -0.075865)
(0.085505, -0.072389)
(0.125000, -0.066714)
(0.160697, -0.059012)
(0.191511, -0.049517)
(0.216506, -0.038518)
(0.234923, -0.026348)
(0.246202, -0.013377)
