(-0.608757, -0.038649)
(-0.531917, -0.114612)
(-0.450318, 0.050261)
(-0.608788, -0.038661)
(-0.531936, -0.114605)
(-0.450279, 0.050308)
(-0.608819, -0.038673)
(-0.531955, -0.114598)
(-0.450240, 0.050355)
(-0.608849, -0.038685)
(-0.531974, -0.114591)
(-0.450201, 0.050403)
(-0.608880, -0.038697)
(-0.531993, -0.114583)
(-0.450162, 0.050450)
(-0.608911, -0.038709)
(-0.532012, -0.114576)
(-0.450123, 0.050498)
(-0.025729, -0.100276)
(-0.608941, -0.038721)
(-0.532032, -0.114569)
(-0.450084, 0.050545)
(-0.025798, -0.100287)
(0.016466, 0.009395)
(-0.608972, -0.038733)
(-0.532051, -0.114561)
(-0.450045, 0.050592)
(-0.025868, -0.100298)
(0.016416, 0.009404)
(-0.609003, -0.038745)
(-0.532070, -0.114554)
(-0.450006, 0.050640)
(-0.025937, -0.100310)
(0.016366, 0.009414)
(-0.609034, -0.038757)
(-0.532089, -0.114547)
(-0.449967, 0.050687)
(-0.026006, -0.100321)
(0.016316, 0.009424)
(-0.532108, -0.114540)
(-0.449928, 0.050734)
(-0.026076, -0.100332)
(0.016265, 0.009434)
(-0.532128, -0.114532)
(-0.026145, -0.100344)
(-0.112896, -0.577713)
(0.016215, 0.009443)
(-0.532147, -0.114525)
(-0.026214, -0.100355)
(-0.112883, -0.577736)
(0.016165, 0.009453)
(-0.532166, -0.114518)
(-0.026284, -0.100366)
(-0.112871, -0.577760)
(-0.532185, -0.114510)
(-0.026353, -0.100377)
(-0.112859, -0.577783)
(0.089351, -0.369546)
(-0.532204, -0.114503)
(-0.026422, -0.100389)
(-0.112846, -0.577807)
(0.089337, -0.369573)
(-0.026492, -0.100400)
(-0.112834, -0.577830)
(0.015965, 0.009492)
(0.089323, -0.369601)
(-0.026561, -0.100411)
(0.015915, 0.009501)
(0.089309, -0.369628)
(0.179869, 0.118752)
(-0.026630, -0.100423)
(0.015865, 0.009511)
(0.089295, -0.369656)
(0.179890, 0.118765)
(-0.026700, -0.100434)
(0.015815, 0.009521)
(0.089280, -0.369683)
(0.179911, 0.118778)
(-0.026769, -0.100445)
(0.015765, 0.009531)
(0.089266, -0.369710)
(0.179933, 0.118790)
(-0.026838, -0.100457)
(0.072507, 0.233228)
(0.015715, 0.009540)
(0.089252, -0.369738)
(0.179954, 0.118803)
(-0.026908, -0.100468)
(0.015665, 0.009550)
(0.089238, -0.369765)
(0.179975, 0.118816)
(-0.026977, -0.100479)
(0.015615, 0.009560)
(0.089224, -0.369793)
(0.179996, 0.118829)
(-0.027046, -0.100491)
(0.015565, 0.009569)
(0.089210, -0.369820)
(0.180017, 0.118842)
(0.309164, 0.118123)
(-0.027116, -0.100502)
(0.015515, 0.009579)
(0.089196, -0.369847)
(0.180039, 0.118855)
(0.309143, 0.118107)
(-0.027185, -0.100513)
(0.015465, 0.009589)
(0.089182, -0.369875)
(0.180060, 0.118867)
(0.309123, 0.118090)
(-0.027254, -0.100525)
(0.015415, 0.009598)
(0.089168, -0.369902)
(0.180081, 0.118880)
(0.309102, 0.118073)
(-0.027324, -0.100536)
(0.015365, 0.009608)
(0.089154, -0.369930)
(0.180102, 0.118893)
(0.309082, 0.118057)
(-0.027393, -0.100547)
(0.015315, 0.009618)
(0.089140, -0.369957)
(0.180123, 0.118906)
(0.309061, 0.118040)
(-0.027462, -0.100559)
(0.015265, 0.009627)
(0.089126, -0.369984)
(0.180144, 0.118919)
(0.309040, 0.118024)
(-0.027532, -0.100570)
(0.015215, 0.009637)
(0.180166, 0.118931)
(0.309020, 0.118007)
(-0.027601, -0.100581)
(0.015165, 0.009647)
(0.465359, -0.227668)
(0.180187, 0.118944)
(0.308999, 0.117990)
(-0.027670, -0.100593)
(0.015115, 0.009657)
(0.465359, -0.227701)
(0.180208, 0.118957)
(0.308979, 0.117974)
(-0.027740, -0.100604)
(0.015065, 0.009666)
(0.465360, -0.227734)
(0.180229, 0.118970)
(0.308958, 0.117957)
(-0.027809, -0.100615)
(0.015015, 0.009676)
(0.465361, -0.227767)
(0.180250, 0.118983)
(0.308938, 0.117941)
(-0.027878, -0.100627)
(0.014965, 0.009686)
(0.465361, -0.227801)
(0.180271, 0.118995)
(0.308917, 0.117924)
(-0.027948, -0.100638)
(0.014915, 0.009695)
(0.465362, -0.227834)
(0.180293, 0.119008)
(0.308896, 0.117907)
(-0.028017, -0.100649)
(0.014864, 0.009705)
(0.465362, -0.227867)
(0.308876, 0.117891)
(-0.028086, -0.100661)
(0.014814, 0.009715)
(0.465363, -0.227900)
(0.308855, 0.117874)
(-0.028156, -0.100672)
(0.465364, -0.227934)
(0.308835, 0.117858)
(-0.028225, -0.100683)
(0.465364, -0.227967)
(0.308814, 0.117841)
(-0.028294, -0.100695)
(0.465365, -0.228000)
(0.308794, 0.117825)
(-0.028364, -0.100706)
(0.465365, -0.228033)
(0.308773, 0.117808)
(0.465366, -0.228067)
(0.308752, 0.117791)
(0.465366, -0.228100)
(0.180462, 0.119111)
(0.308732, 0.117775)
(0.025217, 0.011092)
(0.465367, -0.228133)
(0.180483, 0.119124)
(0.308711, 0.117758)
(0.180504, 0.119136)
(0.308691, 0.117742)
(0.180526, 0.119149)
(0.308670, 0.117725)
(0.180547, 0.119162)
(0.308650, 0.117708)
(0.293249, 0.614873)
(0.180568, 0.119175)
(0.308629, 0.117692)
(0.214792, 0.396720)
(0.293233, 0.614902)
(0.180589, 0.119188)
(0.308608, 0.117675)
(0.214798, 0.396733)
(0.293217, 0.614931)
(0.180610, 0.119200)
(0.308588, 0.117659)
(0.214804, 0.396745)
(0.293201, 0.614960)
(0.180631, 0.119213)
(0.308567, 0.117642)
(0.214810, 0.396758)
(0.180653, 0.119226)
(0.308547, 0.117626)
(0.214816, 0.396771)
(0.180674, 0.119239)
(0.308526, 0.117609)
(0.180695, 0.119252)
(0.308506, 0.117592)
(0.180716, 0.119264)
(0.308485, 0.117576)
(0.603520, 0.640866)
(0.569819, 0.681424)
(0.308464, 0.117559)
(0.603529, 0.640869)
(0.569824, 0.681431)
(0.308444, 0.117543)
(0.603538, 0.640872)
(0.569829, 0.681438)
(0.504068, 0.750717)
(0.308423, 0.117526)
(0.603548, 0.640874)
(0.569834, 0.681445)
(0.859888, 0.406231)
(0.308403, 0.117509)
(0.859914, 0.406284)
(0.308382, 0.117493)
(0.860372, 0.492157)
(0.859940, 0.406336)
(0.308362, 0.117476)
(0.860415, 0.492128)
(0.859965, 0.406389)
(0.308341, 0.117460)
(0.860457, 0.492099)
(0.859991, 0.406442)
(0.860500, 0.492070)
(0.860017, 0.406495)
(0.860542, 0.492041)
(0.860043, 0.406548)
(0.860585, 0.492012)
(0.860068, 0.406601)
(0.860628, 0.491983)
(0.860094, 0.406654)
(0.860670, 0.491954)
(0.860120, 0.406706)
(0.860713, 0.491925)
(0.860145, 0.406759)
(0.860755, 0.491896)
(0.860171, 0.406812)
(0.860798, 0.491867)
(0.860197, 0.406865)
(0.860840, 0.491838)
