(0.247546, 0.000000)
(0.243785, 0.036673)
(0.232617, 0.072231)
(0.214381, 0.105595)
(0.189631, 0.135750)
(0.159119, 0.161780)
(0.123773, 0.182895)
(0.084666, 0.198453)
(0.042986, 0.207981)
(0.000000, 0.211189)
(-0.043412, 0.207981)
(-0.085505, 0.198453)
(-0.125000, 0.182895)
(-0.160697, 0.161780)
(-0.191511, 0.135750)
(-0.216506, 0.105595)
(-0.234923, 0.072231)
(-0.246202, 0.036673)
(-0.250000, 0.000000)
(-0.246202, -0.043412)
(-0.234923, -0.085505)
(-0.216506, -0.125000)
(-0.191511, -0.160697)
(-0.160697, -0.191511)
(-0.125000, -0.216506)
(-0.085505, -0.234923)
(-0.043412, -0.246202)
(-0.000000, -0.250000)
(0.042986, -0.246202)
(0.084666, -0.234923)
(0.123773, -0.216506)
(0.159119, -0.191511)
(0.189631, -0.160697)
(0.214381, -0.125000)
(0.232617, -0.085505)
(0.243785, -0.043412)
